"File","Line","Column","Level","Text","Context","Fix"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","655","55","ERROR","","return Results.BadRequest(new ErrorResponse(""实体已被引用，不能删除字段"", ""ENTITY_LOCKED""));","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","665","40","ERROR","","return Results.BadRequest(new ErrorResponse($""字段 {existingField.PropertyName} 已被引用，不能修改数据类型"", ""ENTITY_LOCKED""));","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","665","63","ERROR","","return Results.BadRequest(new ErrorResponse($""字段 {existingField.PropertyName} 已被引用，不能修改数据类型"", ""ENTITY_LOCKED""));","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","668","40","ERROR","","return Results.BadRequest(new ErrorResponse($""字段 {existingField.PropertyName} 的长度只能增大，不能缩小"", ""ENTITY_LOCKED""));","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","668","63","ERROR","","return Results.BadRequest(new ErrorResponse($""字段 {existingField.PropertyName} 的长度只能增大，不能缩小"", ""ENTITY_LOCKED""));","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","683","32","ERROR","","return Results.BadRequest(new ErrorResponse(""实体已被引用，不能删除已锁定的接口"", ""ENTITY_LOCKED""));","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","683","55","ERROR","","return Results.BadRequest(new ErrorResponse(""实体已被引用，不能删除已锁定的接口"", ""ENTITY_LOCKED""));","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","729","32","ERROR","","return Results.BadRequest(new ErrorResponse($""系统字段 {field.PropertyName} 不能删除"", ""VALIDATION_ERROR""));","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","729","55","ERROR","","return Results.BadRequest(new ErrorResponse($""系统字段 {field.PropertyName} 不能删除"", ""VALIDATION_ERROR""));","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","735","32","ERROR","","return Results.BadRequest(new ErrorResponse($""接口字段 {field.PropertyName} 不能删除，请移除相应的接口"", ""VALIDATION_ERROR""));","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","735","55","ERROR","","return Results.BadRequest(new ErrorResponse($""接口字段 {field.PropertyName} 不能删除，请移除相应的接口"", ""VALIDATION_ERROR""));","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","922","24","ERROR","实体定义不存在","return Results.NotFound(new ErrorResponse(""实体定义不存在"", ""ENTITY_NOT_FOUND""));","I18n.T(""ERR_XXX"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","922","45","ERROR","实体定义不存在","return Results.NotFound(new ErrorResponse(""实体定义不存在"", ""ENTITY_NOT_FOUND""));","I18n.T(""ERR_XXX"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","928","24","ERROR","","return Results.BadRequest(new ErrorResponse(""已发布的实体不能直接删除，请先撤销发布"", ""ENTITY_PUBLISHED""));","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","928","47","ERROR","","return Results.BadRequest(new ErrorResponse(""已发布的实体不能直接删除，请先撤销发布"", ""ENTITY_PUBLISHED""));","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","940","24","ERROR","","return Results.BadRequest(new ErrorResponse(""实体已被模板引用，不能删除"", ""ENTITY_REFERENCED""));","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","940","47","ERROR","","return Results.BadRequest(new ErrorResponse(""实体已被模板引用，不能删除"", ""ENTITY_REFERENCED""));","I18n.T(""ERR_"")"
